departamento;municipio;circuito;establecimiento;mesa;electores
R. DE LA FRONTERA;R. DE LA FRONTERA;67D;ESCUELA Nº 4633 CRISTO REDENTOR;3842;303
ANTA;J. V. GONZALEZ;24E;ESCUELA Nº 4657 SAN MARTIN DE PORRES;2656;304
ANTA;J. V. GONZALEZ;24E;ESCUELA Nº 4657 SAN MARTIN DE PORRES;2658;304
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1234;304
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1238;304
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3187;304
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1235;305
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1239;305
CHICOANA;CHICOANA;56G;ESCUELA Nº 4369 CARMEN GÜEMES DE LATORRE;3707;305
MOLINOS;SECLANTAS;87A;ESCUELA Nº 4537 WOLF SCHCOLNIK;3959;305
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3184;305
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3414;305
STA. VICTORIA;S. V. OESTE;49A;ESCUELA Nº 4390 DON EUSTAQUIO LENES;3541;306
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3183;306
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3185;306
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3186;306
STA. VICTORIA;S. V. OESTE;49A;ESCUELA Nº 4390 DON EUSTAQUIO LENES;3539;307
STA. VICTORIA;S. V. OESTE;49A;ESCUELA Nº 4390 DON EUSTAQUIO LENES;3540;307
STA. VICTORIA;S. V. OESTE;49A;ESCUELA Nº 4390 DON EUSTAQUIO LENES;3542;307
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1834;307
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1835;307
MOLINOS;SECLANTAS;87A;ESCUELA Nº 4537 WOLF SCHCOLNIK;3960;307
STA. VICTORIA;S. V. OESTE;49A;ESCUELA Nº 4390 DON EUSTAQUIO LENES;3538;308
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1240;308
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1832;308
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1836;308
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1837;308
SAN MARTIN;EMBARCACION;41B;ESCUELA Nº 4486 INFANTERIA DE MARINA ARGENTINA;3188;308
STA. VICTORIA;LOS TOLDOS;50B;ESCUELA Nº 4559;3561;308
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1833;309
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1838;309
CHICOANA;CHICOANA;56G;ESCUELA Nº 4369 CARMEN GÜEMES DE LATORRE;3709;309
SAN MARTIN;AGUARAY;44E;ESCUELA Nº 4736 SAN MIGUEL ARCANGEL;3448;309
CACHI;CACHI;89C;ESCUELA Nº 4404 EJERCITO LIBERTADOR;3978;310
CAPITAL;SAN LORENZO;4C;ESCUELA Nº 4361 DR. MARTIN RAUL MAINOLI;1839;310
SAN MARTIN;AGUARAY;44E;ESCUELA Nº 4736 SAN MIGUEL ARCANGEL;3447;310
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3555;310
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3557;310
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3559;310
CACHI;CACHI;89C;ESCUELA Nº 4404 EJERCITO LIBERTADOR;3979;312
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3872;312
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3057;312
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3058;312
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3061;312
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3558;312
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3869;313
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3870;313
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3871;313
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3875;313
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3056;313
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3059;313
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3060;313
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3062;313
SAN MARTIN;AGUARAY;44E;ESCUELA Nº 4736 SAN MIGUEL ARCANGEL;3449;313
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3556;313
STA. VICTORIA;LOS TOLDOS;50A;ESCUELA Nº 4560 SAN PEDRO APOSTOL;3560;313
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3632;314
IRUYA;IRUYA;46A;ESCUELA Nº 4379 PADRE CLARET;3514;314
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3868;314
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3874;314
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2749;314
SAN MARTIN;AGUARAY;44C;ESCUELA Nº 4542 DR. ROBERTO PEDRO LOPEZ LANZI;3442;314
SAN MARTIN;AGUARAY;44C;ESCUELA Nº 4542 DR. ROBERTO PEDRO LOPEZ LANZI;3443;314
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3634;315
LA CANDELARIA;EL TALA;74A;ESCUELA Nº 4079 DR. PEDRO A. ARIAS VELAZQUEZ;3873;315
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2748;315
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2750;315
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2751;315
CAPITAL;SAN LORENZO;4B;ESCUELA Nº 4317 TTE. CNEL. CALIXTO GAUNA;1830;316
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3629;316
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3635;316
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3636;316
IRUYA;IRUYA;46A;ESCUELA Nº 4379 PADRE CLARET;3513;316
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2747;316
CAPITAL;SAN LORENZO;4B;COLEGIO N° 8229 SAGRADO CORAZÓN LUZ Y GUÍA;1828;317
CAPITAL;SAN LORENZO;4B;ESCUELA Nº 4317 TTE. CNEL. CALIXTO GAUNA;1829;317
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3628;317
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3631;317
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3633;317
ORAN;URUNDEL;35A;COLEGIO SECUNDARIO Nº 5044;3063;317
CAPITAL;SAN LORENZO;4B;COLEGIO N° 8229 SAGRADO CORAZÓN LUZ Y GUÍA;1827;318
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3630;318
IRUYA;IRUYA;46A;ESCUELA Nº 4379 PADRE CLARET;3515;318
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3202;318
CAPITAL;SAN LORENZO;4B;ESCUELA Nº 4317 TTE. CNEL. CALIXTO GAUNA;1831;319
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3922;320
CERRILLOS;CERRILLOS;53B;ESCUELA Nº 4371 DR. JORGE ALBERTO TREVISAN;3637;320
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2709;320
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2712;320
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2713;320
SAN MARTIN;AGUARAY;44C;ESCUELA Nº 4542 DR. ROBERTO PEDRO LOPEZ LANZI;3444;320
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3201;320
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3200;321
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3914;321
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3917;321
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2707;321
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2708;321
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2710;321
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2711;321
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2714;321
RIVADAVIA;S. V. ESTE;29A;ESCUELA Nº 4555 ROSARIO VERA PEÑALOZA;2752;321
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3203;321
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3915;322
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3916;322
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3920;322
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3921;322
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1033;322
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2158;322
SAN MARTIN;GRAL. MOSCONI;42A;ESCUELA Nº 4419 SARGENTO JUAN BAUTISTA CABRAL;3197;322
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3199;322
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3918;323
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3919;323
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2153;323
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2159;323
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2160;323
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3698;323
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3767;323
METAN;METAN;15E;ESCUELA Nº 4385 WENCESLAO SARAVIA TOLEDO;2508;323
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1024;324
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1025;324
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1032;324
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2152;324
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2154;324
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2156;324
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3689;324
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3741;324
RIVADAVIA;RIV. B. SUR;27A;ESCUELA Nº 4334 INDEPENDENCIA ARGENTINA;2715;324
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3930;324
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3172;324
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3173;324
SAN MARTIN;GRAL. MOSCONI;42B;ESCUELA Nº 4514 GRAL. MARTÍN MIGUEL DE GÜEMES;3204;324
CAFAYATE;CAFAYATE;77F;ESCUELA Nº 4358 DR. NICOLAS AVELLANEDA;3923;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1023;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1027;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1029;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1030;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1031;325
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2157;325
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2792;325
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4081;325
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4085;325
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3925;325
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3174;325
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3175;325
SAN MARTIN;GRAL. MOSCONI;42A;ESCUELA Nº 4419 SARGENTO JUAN BAUTISTA CABRAL;3196;325
SAN MARTIN;GRAL. MOSCONI;42A;ESCUELA Nº 4419 SARGENTO JUAN BAUTISTA CABRAL;3198;325
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1026;326
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1028;326
CAPITAL;SALTA;5K;ESCUELA Nº 4634 SUBMARINO A.R.A. SALTA;2155;326
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3697;326
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3764;326
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3765;326
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3766;326
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3768;326
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3770;326
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3746;326
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2794;326
RIVADAVIA;S. V. ESTE;29G;ESCUELA Nº 4123 ISI NILATAJ (LUZ ETERNA);2773;326
RIVADAVIA;S. V. ESTE;29G;ESCUELA Nº 4123 ISI NILATAJ (LUZ ETERNA);2774;326
RIVADAVIA;S. V. ESTE;29G;ESCUELA Nº 4123 ISI NILATAJ (LUZ ETERNA);2775;326
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4082;326
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3926;326
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3171;326
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3688;327
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3690;327
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3695;327
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3696;327
GUACHIPAS;GUACHIPAS;63A;ESCUELA Nº 4074 DR. BERNARDO FRIAS;3769;327
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3742;327
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3743;327
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2787;327
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2789;327
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2790;327
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2791;327
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2795;327
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2796;327
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2797;327
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2798;327
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2799;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4083;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4084;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4086;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4088;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4089;327
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4090;327
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3927;327
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3929;327
SAN MARTIN;GRAL. MOSCONI;42A;ESCUELA Nº 4419 SARGENTO JUAN BAUTISTA CABRAL;3195;327
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1049;328
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1053;328
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1054;328
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1055;328
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1056;328
CAPITAL;SALTA;2P;ESCUELA Nº 8015 CEFERINO NAMUNCURA;1415;328
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3685;328
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3687;328
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2344;328
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3744;328
METAN;METAN;15E;ESCUELA Nº 4385 WENCESLAO SARAVIA TOLEDO;2509;328
ORAN;AGUAS BLANCAS;30B;COLEGIO SECUNDARIO Nº 5059;2788;328
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4087;328
SAN CARLOS;SAN CARLOS;79A;ESCUELA Nº 4107 DR. ARTURO LEON DAVALOS;3928;328
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1048;329
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1047;329
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1050;329
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1051;329
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1052;329
CAPITAL;SALTA;3F;ESCUELA Nº 4015 REMEDIOS ESCALADA DE SAN MARTIN;1645;329
CAPITAL;SALTA;3F;ESCUELA Nº 4015 REMEDIOS ESCALADA DE SAN MARTIN;1646;329
CERRILLOS;CERRILLOS;52B;ESCUELA Nº 4637 M. MAGDALENA GOYECHEA DE GÜEMES;3598;329
CERRILLOS;CERRILLOS;52B;ESCUELA Nº 4637 M. MAGDALENA GOYECHEA DE GÜEMES;3606;329
CERRILLOS;CERRILLOS;52B;ESCUELA Nº 4637 M. MAGDALENA GOYECHEA DE GÜEMES;3608;329
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3684;329
CHICOANA;CHICOANA;56A;COLEGIO SECUNDARIO Nº 5010 ISLAS MALVINAS;3686;329
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3692;329
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3693;329
CHICOANA;CHICOANA;56A;ESCUELA Nº 4071 GOB. ABRAHAM CORNEJO;3694;329
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2332;329
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2335;329
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2336;329
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2340;329
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2341;329
LA VIÑA;LA VIÑA;59A;ESCUELA Nº 4080 GENERAL DIONISIO PUCH;3745;329
ORAN;AGUAS BLANCAS;30B;ESCUELA Nº 4094 LIBERTADOR GRAL. SAN MARTIN;2800;329
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4079;329
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4080;329
SAN MARTIN;GRAL. BALLIVIAN;40B;ESCUELA Nº 4470 PASTOR SENILLOSA;3176;329
ANTA;EL QUEBRACHAL;25D;ESCUELA Nº 4437 CNEL. LORENZO BARCALA;2687;330
ANTA;EL QUEBRACHAL;25D;ESCUELA Nº 4437 CNEL. LORENZO BARCALA;2688;330
ANTA;EL QUEBRACHAL;25D;ESCUELA Nº 4437 CNEL. LORENZO BARCALA;2689;330
ANTA;EL QUEBRACHAL;25D;ESCUELA Nº 4437 CNEL. LORENZO BARCALA;2690;330
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1004;330
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1013;330
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1014;330
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1015;330
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1046;330
CAPITAL;SALTA;2L;ESCUELA Nº 4647 MARIANO BOEDO;1316;330
CAPITAL;SALTA;2L;ESCUELA Nº 4647 MARIANO BOEDO;1317;330
CAPITAL;SALTA;2L;ESCUELA PARR. Nº 8073 NTRA. SRA. DE LA CANDELARIA;1319;330
CAPITAL;SALTA;2P;ESCUELA Nº 8015 CEFERINO NAMUNCURA;1409;330
CAPITAL;SALTA;3F;ESCUELA Nº 4015 REMEDIOS ESCALADA DE SAN MARTIN;1647;330
CAPITAL;SALTA;3F;ESCUELA Nº 4015 REMEDIOS ESCALADA DE SAN MARTIN;1649;330
CAPITAL;SALTA;3J;ESCUELA Nº 4726 PROF. OSCAR OÑATIVIA;1751;330
CERRILLOS;CERRILLOS;52B;ESCUELA Nº 4637 M. MAGDALENA GOYECHEA DE GÜEMES;3602;330
CERRILLOS;CERRILLOS;52B;ESCUELA Nº 4637 M. MAGDALENA GOYECHEA DE GÜEMES;3605;330
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2333;330
GENERAL GÜEMES;CAMPO SANTO;11A;COLEGIO SECUNDARIO Nº 5034 D. ENRIQUE CORNEJO;2334;330
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2338;330
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2339;330
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2342;330
GENERAL GÜEMES;CAMPO SANTO;11A;ESCUELA Nº 4065 CNEL. JOSE A. FERNANDEZ CORNEJO;2343;330
GENERAL GÜEMES;GRAL. GÜEMES;12C;ESCUELA Nº 4605 CAP. DE FRAG. S. R. GOMEZ ROCA;2402;330
